Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
Caeli YT,16.562781536322326,21.136563004250668,Entertainment,Caeli YT,6.182084906716632,Mexico,Entertainment,24.0,17.951492797946585,0.0,12.206077645517674,40.2,18.651903768245116,3.42,1,0,13,4.584047520054915,14.956546669424506,0.0,0.814408236023,0.012739025777429757
Kuplinov ï¿½ï¿½ï¿,16.562781536322326,22.64934193040311,Gaming,Kuplinov ï¿½ï¿½ï¿,8.798454696065095,Unknown,Games,-1.0,18.407190163905685,12.8856304067793,12.206077645517674,68.0,19.609254155938732,9.02,0,1,11,6.088831092494567,13.85103917686799,15.298024003890985,0.8245899991756934,0.012739025777429757
Linus Tech Tips,16.562781536322326,22.69350428275979,Science & Technology,Linus Tech Tips,8.78615105486974,Canada,Tech,7.0,18.295389604140446,12.773942843323274,11.51293546492023,68.9,17.42621174442237,5.56,0,0,15,6.1328954567680665,13.90750698663086,15.185497929919634,0.827976257881404,0.006389798098771011
Juliana Baltar,16.562781536322326,22.076380049392753,Entertainment,Juliana Baltar,7.61085279039525,Brazil,Entertainment,34.0,17.84474756606913,12.323415584358154,11.51293546492023,51.3,19.17473212136165,12.08,0,0,13,5.517622045220756,14.46602295259997,14.744243957782164,0.8620725611041735,0.006389798098771011
5-Minute Crafts FAMILY,16.562781536322326,22.542276869011573,People & Blogs,5-Minute Crafts FAMILY,8.353732642263202,United States,Howto,145.0,17.12539645769618,11.603688960617083,12.206077645517674,88.2,19.609254155938732,14.7,1,0,5,5.982022303976897,14.188780458583565,14.01263944316034,0.8245899991756934,0.012739025777429757
Blippi Espaï¿½ï,16.5563506464056,22.91872096383924,People & Blogs,Blippi Espaï¿½ï,6.395261598115449,Mexico,Education,24.0,18.315453563849402,12.793862088206213,11.51293546492023,40.2,18.651903768245116,3.42,0,0,6,6.364094167572755,16.525130276339418,15.209277182061793,0.814408236023,0.006430890330290426
Super Senya,16.5563506464056,22.34679809874755,Entertainment,Super Senya,0.0,Unknown,Entertainment,-1.0,17.975720900750336,0.0,12.206077645517674,68.0,19.609254155938732,9.02,1,1,6,5.793499468698397,0.0,0.0,0.8245899991756934,0.012820688429061438
Katakit Baby TV,16.5563506464056,22.577416503304924,Music,Katakit Baby TV,5.3981627015177525,Saudi Arabia,Music,4.0,18.3254245736895,12.804087380490135,12.206077645517674,68.0,17.349737969089443,5.93,0,0,13,6.0234900617928755,17.18378899124487,15.233134240410008,0.8406499981557422,0.012820688429061438
Infobells Bangla,16.5563506464056,22.77439871595325,Education,Infobells Bangla,5.886104031450156,India,Education,98.0,18.93880765433618,13.41741969316595,12.611541086966115,28.1,21.035458374912988,5.36,0,0,7,6.220039282032711,16.891076373499885,15.843171976248229,0.34471999988372515,0.019169916107720186
ýýýýýýýý ýý ýýýýýýýý,16.5563506464056,22.83531125351683,Shows,ýýýýýýýý ýý ýýýýýýýý,6.92951677076365,Saudi Arabia,Film,4.0,18.721051974925565,13.199511438088248,12.611541086966115,68.0,17.349737969089443,5.93,0,0,6,6.280834263920442,15.9067735587622,15.622963077943608,0.8406499981557422,0.019169916107720186
Henrique e Juliano,16.5563506464056,23.405623688958208,Music,Henrique e Juliano,5.786897381366708,Brazil,Music,35.0,18.913411647238664,13.391933921845155,12.206077645517674,51.3,19.17473212136165,12.08,1,0,14,6.850332771441397,17.621798528790617,15.818206170369766,0.8620725611041735,0.012820688429061438
Mr DegrEE,16.5563506464056,23.278971701112397,Science & Technology,MrDegree,0.0,United States,Entertainment,5048.0,17.975720900750336,0.0,2.3978952727983707,88.2,19.609254155938732,14.7,0,0,7,6.723823775538628,0.0,0.0,0.8245899991756934,6.451610822061249e-07
Kashvi Adlakha,16.5563506464056,23.26598073381755,Entertainment,Kashvi Adlakha,7.330405211844402,India,Entertainment,99.0,18.750868999082993,13.229424246641315,12.206077645517674,28.1,21.035458374912988,5.36,0,0,6,6.710848524260867,15.936231164642557,15.653294624673366,0.34471999988372515,0.012820688429061438
Talking Tom & Friends,16.5563506464056,22.578946402682174,Entertainment,Talking Tom & Friends,6.035481432524756,United States,Film,146.0,17.12514078263062,11.603688960617083,12.206077645517674,88.2,19.609254155938732,14.7,1,0,13,6.025016259796065,16.545860245923514,14.01263944316034,0.8245899991756934,0.012820688429061438
ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,16.5563506464056,22.227304725647926,Howto & Style,ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,8.55333223803211,Egypt,Howto,1.0,17.309469450088102,11.788289480716973,11.51293546492023,35.2,18.424553973305866,10.76,0,0,6,5.6743928016555865,13.674166559057456,14.221842623489565,0.42730000405526264,0.006430890330290426
Harsh Beniwal,16.54987813231892,21.300567728767664,Comedy,Harsh Beniwal,5.111987788356544,India,Comedy,100.0,17.146392801472945,11.625369830810577,11.51293546492023,28.1,21.035458374912988,5.36,0,0,8,4.7592982310508365,16.194622346938495,14.01116039726955,0.34471999988372515,0.006472514505617462
