Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
Ja Mill,0.005391450471077697,0.8025124199677452,People & Blogs,jamill,0.0,Unknown,Entertainment,-1.0,0.7885997468573448,0.0,0.7573396995666664,68.0,0.8515167182046919,9.02,1,1,0.3076923076923077,0.6005384652762722,0.0,0.0,0.7871914495325427,0.053983681635535595
Health Time,0.005391450471077697,0.792482352827116,Howto & Style,Health Time,0.594617859645992,India,People,123.0,0.6139602599880187,0.5254426455137845,0.7573396995666664,28.1,0.9976791355194754,5.36,1,0,0.1153846153846154,0.5670728579609587,0.5476604550816678,0.5860870869470876,0.2050100546163604,0.053983681635535595
Yair17,0.005391450471077697,0.8053190345610022,Gaming,Yair17,0.5558160706577294,Mexico,Games,33.0,0.698360128668151,0.6378658089075339,0.7573396995666664,40.2,0.7534040881753246,3.42,1,0,0.15384615384615385,0.6099187657788163,0.5818500859540763,0.6842890340589609,0.7748388684508181,0.053983681635535595
Little Baby Bum en Espaï¿½ï,0.005391450471077697,0.8665641873196497,Education,Little Baby Bum en Espaï¿½ï,0.5775407675074995,Spain,Education,19.0,0.7261836968229175,0.6749693065777206,0.7573396995666664,88.9,0.6524974609911891,13.96,1,0,0.15384615384615385,0.8155933780263377,0.6368226685220308,0.7166388120172579,0.7642133296961922,0.053983681635535595
First We Feast,0.005391450471077697,0.8341982761785058,Howto & Style,First We Feast,0.5534238008033028,United States,Entertainment,175.0,0.8137685568313583,0.7918034841037921,0.7573396995666664,88.2,0.8515167182046919,14.7,0,0,0.15384615384615385,0.706726587345299,0.6143788756744656,0.8180589621800267,0.7871914495325427,0.053983681635535595
Mï¿½ï¿½ï¿½ï¿½,0.005391450471077697,0.8361600859985242,Travel & Events,Mï¿½ï¿½ï¿½ï¿½,0.526517428532524,Mexico,Entertainment,33.0,0.7554726608079205,0.7140109881149914,0.7573396995666664,40.2,0.7534040881753246,3.42,1,0,0.13461538461538464,0.7133171141056701,0.6305766870574518,0.7511423377400719,0.7748388684508181,0.053983681635535595
Bebefinn - Nursery Rhymes & Kids Songs,0.005391450471077697,0.8469385682538175,Entertainment,Bebefinn - Nursery Rhymes & Kids Songs,0.45796623089292393,United States,Entertainment,175.0,0.8879552458376514,0.0,0.8176146293679291,88.2,0.8515167182046919,14.7,0,0,0.0,0.7495486888187154,0.678140025940064,0.0,0.7871914495325427,0.1333858567500171
Troom Troom PT,0.005391450471077697,0.8489120865097797,Howto & Style,Troom Troom PT,0.6274109213378017,Unknown,Howto,-1.0,0.7175338312740219,0.6634016919009733,0.7573396995666664,68.0,0.8515167182046919,9.02,1,1,0.13461538461538464,0.7561862014442577,0.5916360696559979,0.7065895708121721,0.7871914495325427,0.053983681635535595
Parafernalha,0.005391450471077697,0.850963217471415,Entertainment,Parafernalha,0.5979603431557607,Brazil,Entertainment,54.0,0.6885802371269542,0.6247083327473414,0.7573396995666664,51.3,0.8069853740217376,12.08,1,0,0.21153846153846156,0.7630857798424482,0.6092511109751811,0.6729160591213537,0.8326655367243903,0.053983681635535595
NDTV,0.005391450471077697,0.8534436149156212,Entertainment,NDTV,0.9453110705023302,India,News,123.0,0.7844601171133039,0.7526983890874555,0.7117436549793702,28.1,0.9976791355194754,5.36,0,0,0.3076923076923077,0.7714306494278387,0.43044016096912296,0.7842183584421922,0.2050100546163604,0.027098914360904024
